

Database of gamma-ray burst bulk properties extracted from the on-line
3B catalog in May 1996, with cluster assignments from average-linkage
hierarachical clustering, created by S. Mukherjee.  logP256 was not used 
in clustering, but was added to the database by E. Feigelson in October 1997.


SAS #   Clus #  3B cat#   log t50    log t90   logFtot    log H321  log H32  log P256
201       1       2367.    0.8018    1.2745    -5.8976     0.1708    0.4181    0.6104
202       1       591.     1.4865    1.7487    -5.4996     0.0951    0.3704   -0.0768
203       1       1213.    1.0940    1.3059    -5.9864     0.5525    0.7198   -0.3686
204       1       2857.    1.0035    1.3899    -5.8996     0.4882    0.6971   -0.2596
205       1       1623.    1.3984    1.8203    -4.4839     0.4509    0.6789    0.4741
206       1       2383.    1.3502    1.7071    -4.4796     0.5423    0.7419    0.4861
207       1       1651.    0.5843    0.9300    -5.2708     0.1115    0.4674    0.4459
208       1       3084.    0.6927    0.9823    -5.2905     0.2230    0.4852    0.3475
209       1       3072.    0.5986    0.9397    -5.6765     0.1694    0.4390    0.0278
210       1       2304.    1.2526    1.7348    -5.5235     0.1590    0.4093   -0.1152
211       1       2080.    1.3564    1.7305    -4.4841     0.3203    0.5014    0.7514
212       1       2703.    1.3540    1.7609    -4.6242     0.3485    0.5832    0.4607
213       1       2394.    1.7802    2.1463    -5.1637     0.1580    0.4168    0.0477
214       1       2581.    1.7098    2.0185    -5.0867     0.1552    0.4474    0.2198
215       1       2090.    0.9365    1.5814    -4.7991     0.2768    0.5109    1.0067
216       1       3101.    0.9235    1.5726    -4.9651     0.2734    0.4877    0.3460
217       1       1586.    1.7346    1.9569    -5.3252     0.0141    0.1955   -0.0429
218       1       2519.    1.7983    1.9554    -5.2126     0.0639    0.2913    0.1844
219       1       1578.    0.8018    1.3127    -4.9003     0.3149    0.4779    0.5737
220       1       2443.    0.7507    1.4608    -4.8424     0.2925    0.4688    0.3212
221       1       1807.    1.4221    1.7638    -5.1152     0.1498    0.3994    0.2819
222       1       3017.    1.4829    1.8782    -5.1079     0.2408    0.4574   -0.0391
223       1       2663.    0.7305    1.0872    -5.7791     0.0865    0.2991   -0.1864
224       1       606.     0.9333    1.3167    -5.5040     0.1953    0.4314    0.0220
225       1       2253.    1.0615    1.2933    -5.5933     0.2477    0.4697    0.3377
226       1       2373.    1.1446    1.7203    -5.8356     0.0834    0.2973   -0.2976
227       1       3074.    1.2455    1.6355    -5.8914     0.1461    0.3666   -0.3904
228       1       2812.    1.1506    1.4865    -4.5933     0.3398    0.5300    1.0219
229       1       2863.    1.2076    1.6297    -4.6588     0.3284    0.5665    0.2629
230       1       2213.    1.7131    1.7916    -5.0320     0.2206    0.4521    0.6619
231       1       1291.    0.8356    1.1846    -5.3347     0.5674    0.7327    0.2799
232       1       2560.    0.7839    1.2502    -5.1915     0.5286    0.7608   -0.0292
233       1       2140.    0.8315    1.2804    -5.8921    -0.2580    0.1300   -0.2840
234       1       2392.    0.8669    1.3113    -5.8778    -0.1212    0.2232   -0.2284
235       1       2211.    1.8327    1.9254    -4.8259     0.4074    0.6336    0.1452
236       1       2961.    1.7087    1.9476    -4.9304     0.4451    0.6737   -0.2495
237       1       2570.    0.7930    1.1406    -4.9997     0.4461    0.6058    0.4076
238       1       1657.    0.6983    1.1242    -5.9857     0.3408    0.5360   -0.4271
239       1       2437.    0.6191    1.2015    -6.0315     0.3959    0.6483   -0.3143
240       1       467.     0.9461    1.5763    -5.1715     0.4500    0.6386    0.8881
